seed,model,stress_type,stress_rate,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,auc_macro_ovr,n_samples,mean_r_target,mean_observed_missing,mean_observed_implausibility,mean_reliability,std_reliability,corr_reliability_r_target,corr_reliability_missing,corr_reliability_implausibility,mae_reliability_target,f1_macro_ci95_low,f1_macro_ci95_high
42,Prior Fusion,corruption,0.0,0.632020658489348,0.6328454542370885,0.7103387542298384,0.6351178366172178,0.8178479954158366,0.632020658489348,0.6699331871814079,0.939925750017779,1549,0.9866580963134766,0.013341940939426422,0.006670970469713211,,,,,,,0.5921337728206368,0.6719722939731382
42,Prior Fusion,corruption,0.25,0.632020658489348,0.6330664810403027,0.7103387542298384,0.6354360846701547,0.8175413856027371,0.632020658489348,0.6698781226074313,0.939992946298716,1549,0.8924037218093872,0.009468474425375462,0.10286206752061844,,,,,,,0.5922673503596387,0.671900368220703
42,Prior Fusion,corruption,0.5,0.631375080697224,0.6322605979247946,0.7095947066107907,0.6348958435725275,0.8168450053441988,0.631375080697224,0.6694105103265114,0.9399244894190264,1549,0.7961049675941467,0.006455778609961271,0.20066708326339722,,,,,,,0.5917255794307421,0.6713528148323317
42,Prior Fusion,corruption,0.75,0.631375080697224,0.6320312743419435,0.7095947066107907,0.634576135617828,0.8171444538955974,0.631375080697224,0.6694643148045186,0.9397952680708601,1549,0.7008822560310364,0.003658274421468377,0.29728856682777405,,,,,,,0.5917947077823077,0.671080369530514
42,RG-MF,missing,0.0,0.6888315041962556,0.6392281176385236,0.7384005288959001,0.6654557589369139,0.8141566455309684,0.6888315041962556,0.7154864892883456,0.9271216485649398,1549,0.9866580963134766,0.013341940939426422,0.006670970469713211,0.6850737929344177,0.011216905899345875,0.9963572275604055,-0.9963572286486142,-0.9963572286486142,0.3089173138141632,0.6234873823638584,0.7033004429849679
42,RG-MF,missing,0.25,0.6894770819883796,0.6395944472937207,0.7391484720522205,0.6660237007794095,0.8144733473518327,0.6894770819883796,0.7159772016356327,0.9270234489265036,1549,0.7480095028877258,0.25199052691459656,0.12599526345729828,0.6542784571647644,0.03349621966481209,0.9323509726266686,-0.9323509747322782,-0.9323509747322782,0.189194917678833,0.624654408134728,0.7036029672973981
42,RG-MF,missing,0.5,0.6894770819883796,0.6395944472937207,0.7391484720522205,0.6660237007794095,0.8144733473518327,0.6894770819883796,0.7159772016356327,0.9269486212842938,1549,0.5085000991821289,0.4914998710155487,0.24574993550777435,0.6255531907081604,0.03810742869973183,0.9145558796617749,-0.9145558816588761,-0.9145558816588761,0.22371311485767365,0.624654408134728,0.7036029672973981
42,RG-MF,missing,0.75,0.6901226597805036,0.6399591101969768,0.7398964152085404,0.6665898366092735,0.8147886128036409,0.6901226597805036,0.7164663567071149,0.9268609250969202,1549,0.2539272606372833,0.7460727095603943,0.37303635478019714,0.5963645577430725,0.03246692195534706,0.8916793423513679,-0.8916793430670821,-0.8916793430670821,0.36018458008766174,0.6249825685784068,0.7041564674712091
42,RG-MF,corruption,0.0,0.6888315041962556,0.6392281176385236,0.7384005288959001,0.6654557589369139,0.8141566455309684,0.6888315041962556,0.7154864892883456,0.9271216485649398,1549,0.9866580963134766,0.013341940939426422,0.006670970469713211,0.6850737929344177,0.011216905899345875,0.9963572275604055,-0.9963572286486142,-0.9963572286486142,0.3089173138141632,0.6234873823638584,0.7033004429849679
42,RG-MF,corruption,0.25,0.6888315041962556,0.6392281176385236,0.7384005288959001,0.6654557589369139,0.8141566455309684,0.6888315041962556,0.7154864892883456,0.9269502571815995,1549,0.8924037218093872,0.009468474425375462,0.10286206752061844,0.6771435141563416,0.022802425548434258,0.7383159302694986,-0.37257390743033336,-0.7050124980104053,0.2420644611120224,0.6234873823638584,0.7033004429849679
42,RG-MF,corruption,0.5,0.6894770819883796,0.6395944472937207,0.7391484720522205,0.6660237007794095,0.8144733473518327,0.6894770819883796,0.7159772016356327,0.9269695286588285,1549,0.7961049675941467,0.006455778609961271,0.20066708326339722,0.6689320206642151,0.02758392132818699,0.7000365628128142,-0.21796889353957918,-0.6857744946841953,0.19843892753124237,0.624654408134728,0.7036029672973981
42,RG-MF,corruption,0.75,0.6894770819883796,0.6388036933942066,0.7391484720522205,0.6655659110958919,0.8143141675343742,0.6894770819883796,0.7159116272676839,0.9269385674517282,1549,0.7008822560310364,0.003658274421468377,0.29728856682777405,0.6604606509208679,0.02909776382148266,0.6824176468127949,-0.13900768297112226,-0.6756527374013767,0.17977575957775116,0.6227781936399966,0.7036310022114285
123,ViT Image-Only,missing,0.0,0.6102150537634409,0.5785444908153908,0.7364040379831331,0.615687000942751,0.8111582847568469,0.6102150537634409,0.6447637668481655,0.9347039260369089,1488,0.9932795763015747,0.006720430217683315,0.0033602151088416576,,,,,,,0.5758617388296723,0.6519147703404868
123,ViT Image-Only,missing,0.25,0.6102150537634409,0.5785444908153908,0.7364040379831331,0.615687000942751,0.8111582847568469,0.6102150537634409,0.6447637668481655,0.9347039260369089,1488,0.7408153414726257,0.2591845691204071,0.12959228456020355,,,,,,,0.5758617388296723,0.6519147703404868
123,ViT Image-Only,missing,0.5,0.6102150537634409,0.5785444908153908,0.7364040379831331,0.615687000942751,0.8111582847568469,0.6102150537634409,0.6447637668481655,0.9347039260369089,1488,0.4879032373428345,0.5120967626571655,0.25604838132858276,,,,,,,0.5758617388296723,0.6519147703404868
