seed,gate_mode,stress_type,stress_rate,accuracy,f1_macro,mean_reliability,mean_r_target,corr_reliability_r_target
42,static_mean,missing,0.75,0.6894770819883796,0.6655914178025523,0.2539272904396057,0.2539272606372833,0.2487914465472623
42,static_mean,corruption,0.0,0.6875403486120077,0.6617863160772437,0.9866580963134766,0.9866580963134766,0.7086386266115924
42,static_mean,corruption,0.25,0.6875403486120077,0.6617863160772437,0.8924037218093872,0.8924037218093872,0.34672741738800666
42,static_mean,corruption,0.5,0.6888315041962556,0.6633821578869982,0.7961049675941467,0.7961049675941467,0.2699880355387564
42,static_mean,corruption,0.75,0.6894770819883796,0.6655659110958919,0.7008823156356812,0.7008822560310364,0.2562282783311196
123,full,missing,0.0,0.6209677419354839,0.5781850126986893,0.6045657992362976,0.9932795763015747,0.9518367844370108
123,full,missing,0.25,0.6209677419354839,0.5781850126986893,0.5721583366394043,0.7408153414726257,0.7570755238962017
123,full,missing,0.5,0.6209677419354839,0.5781850126986893,0.5440079569816589,0.4879032373428345,0.7100315629674815
123,full,missing,0.75,0.6209677419354839,0.5781850126986893,0.5188844203948975,0.24932795763015747,0.7066038323410143
123,full,corruption,0.0,0.6209677419354839,0.5781850126986893,0.6045657992362976,0.9932795763015747,0.9518367844370108
123,full,corruption,0.25,0.6209677419354839,0.5781850126986893,0.5976980924606323,0.8995295763015747,0.9193768223797734
123,full,corruption,0.5,0.6209677419354839,0.5781850126986893,0.5911048054695129,0.8098118305206299,0.9162099351200393
123,full,corruption,0.75,0.6209677419354839,0.5781850126986893,0.5837088227272034,0.7138217687606812,0.883735954539216
123,availability_only,missing,0.0,0.6209677419354839,0.5781850126986893,0.558842658996582,0.9932795763015747,0.9599159878641377
123,availability_only,missing,0.25,0.6209677419354839,0.5781850126986893,0.5354974269866943,0.7408153414726257,0.655541053685285
123,availability_only,missing,0.5,0.6209677419354839,0.5781850126986893,0.5165266394615173,0.4879032373428345,0.5591815006325745
123,availability_only,missing,0.75,0.6209677419354839,0.5781850126986893,0.499912828207016,0.24932795763015747,0.5309295130074403
123,availability_only,corruption,0.0,0.6209677419354839,0.5781850126986893,0.558842658996582,0.9932795763015747,0.9599159878641377
123,availability_only,corruption,0.25,0.6209677419354839,0.5781850126986893,0.5590676069259644,0.8995295763015747,0.28859457711427655
123,availability_only,corruption,0.5,0.6209677419354839,0.5781850126986893,0.5593467950820923,0.8098118305206299,0.17109649050558512
123,availability_only,corruption,0.75,0.6209677419354839,0.5781850126986893,0.5594474077224731,0.7138217687606812,0.08159727410290908
123,plausibility_only,missing,0.0,0.6209677419354839,0.5781850126986893,0.6056752800941467,0.9932795763015747,0.9741710365540567
123,plausibility_only,missing,0.25,0.6209677419354839,0.5781850126986893,0.5979127883911133,0.7408153414726257,0.8873216905211707
123,plausibility_only,missing,0.5,0.6209677419354839,0.5781850126986893,0.5910462737083435,0.4879032373428345,0.8369075092900465
123,plausibility_only,missing,0.75,0.6209677419354839,0.5781850126986893,0.5850921869277954,0.24932795763015747,0.7995995413865947
123,plausibility_only,corruption,0.0,0.6209677419354839,0.5781850126986893,0.6056752800941467,0.9932795763015747,0.9741710365540567
123,plausibility_only,corruption,0.25,0.6209677419354839,0.5781850126986893,0.5984717607498169,0.8995295763015747,0.9274609086621914
123,plausibility_only,corruption,0.5,0.6209677419354839,0.5781850126986893,0.5915141105651855,0.8098118305206299,0.9174254175669176
123,plausibility_only,corruption,0.75,0.6209677419354839,0.5781850126986893,0.5839524865150452,0.7138217687606812,0.8872439476404423
123,no_gate,missing,0.0,0.6196236559139785,0.5768305219942027,1.0,0.9932795763015747,
123,no_gate,missing,0.25,0.6202956989247311,0.5779023555834695,1.0,0.7408153414726257,
